time,score,magnitude,text
2013-05-30,0.5,0.5,Shut up about bitcoin.
2013-05-30,0.1,0.2,Read for free: What is the future for virtual currencies like Bitcoin? http://on.ft.com/11asfde
2013-05-30,0.0,0.0,"""ACCEPT MONEY?"
2013-05-30,0.3,0.3,World's Largest Bitcoin Exchange Stops Some Anonymous Operations http://on.mash.to/177WwRz
2013-05-30,0.0,0.0,Treasury Department official says money laundering crackdown isn't part of an anti-Bitcoin campaign http://vrge.co/14bBMBV
2013-05-30,0.0,0.0,Angel Investors Form Group to Fund #Bitcoin #Startupshttp://ow.ly/ly0ib
2013-05-30,0.0,0.1,Will Liberty Reserve prompt the regulation of @Bitcoin ? http://ht.ly/lwDQ0
2013-05-30,0.0,0.1,Does the BitCoin ATM show a model for future digital money interactions? http://live.wsj.com/video/the-world-first-bitcoin-atm-how-does-it-work/7D693A0D-0F1E-4BD9-B1A9-EF79E6D19BF0.html#!7D693A0D-0F1E-4BD9-B1A9-EF79E6D19BF0 …
2013-05-30,0.5,1.0,Bitcoin: The perfect Schmuck insurance | http://bloom.bg/ZgQKbg  (by @chamath)
2013-05-30,0.3,0.3,The price of bitcoin on Mt.Gox is now 128.90000 USD
2013-05-30,0.4,0.9,More bitcoin fun: http://techcrunch.com/2013/05/16/an-offer-you-cant-refuse-bitcoin-startup-bitpay-raises-2m-led-by-founders-fund-the-vc-run-by-the-paypal-mafia/?utm_source=feedly … andhttp://techcrunch.com/2013/05/17/with-1-5m-led-by-winklevoss-capital-bitinstant-aims-to-be-the-go-to-site-to-buy-and-sell-bitcoins/?utm_source=feedly …
2013-05-30,0.2,0.5,Got quoted in Financial Times today and they didn't twist my words! :) http://www.ft.com/intl/cms/s/2/dc18a5be-c872-11e2-8cb7-00144feab7de.html#axzz2UoaUTBgd … #ft #bitcoin #money #tech
2013-05-30,0.0,0.0,"""""""Pay with Bitcoin"""" hahaha"""
2013-05-30,0.5,0.5,"""#BitMessage: #Encrypted messaging, #BitCoin style with #linux http://goo.gl/EGR7g """
2013-05-30,-0.6,0.6,Bitcoin Takes Another Hit as Liberty Reserve Shut Down http://ht.ly/lwDMa  @bitcoin #cftc
2013-05-30,0.4,0.8,Has The Fall of MtGox Already Begun? http://ow.ly/lyOKj  #bitcoin
2013-05-30,-0.1,0.1,"""Reporter: """"But what is your evidence that Mochizuki was not involved with Bitcoin?"""""""
